game_id,round_index,player_id,round_begin_ts,player_move,player_rt,player_outcome,player_points,player_total
476614b1-3c2e-4acd-afcc-001b4dcb570a,48,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849195631,scissors,2114,win,3,27
476614b1-3c2e-4acd-afcc-001b4dcb570a,49,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849199207,paper,1295,win,3,38
476614b1-3c2e-4acd-afcc-001b4dcb570a,49,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849199207,rock,1996,loss,-1,30
476614b1-3c2e-4acd-afcc-001b4dcb570a,50,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849202456,rock,1158,win,3,41
476614b1-3c2e-4acd-afcc-001b4dcb570a,50,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849202456,scissors,2531,loss,-1,29
476614b1-3c2e-4acd-afcc-001b4dcb570a,51,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849206255,scissors,1231,win,3,44
476614b1-3c2e-4acd-afcc-001b4dcb570a,51,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849206255,paper,969,loss,-1,28
476614b1-3c2e-4acd-afcc-001b4dcb570a,52,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849209039,scissors,1222,tie,0,47
476614b1-3c2e-4acd-afcc-001b4dcb570a,52,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849209039,scissors,779,tie,0,27
476614b1-3c2e-4acd-afcc-001b4dcb570a,53,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849212526,rock,415,loss,-1,47
476614b1-3c2e-4acd-afcc-001b4dcb570a,53,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849212526,paper,2036,win,3,27
476614b1-3c2e-4acd-afcc-001b4dcb570a,54,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849217103,paper,663,loss,-1,46
476614b1-3c2e-4acd-afcc-001b4dcb570a,54,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849217103,scissors,2467,win,3,30
476614b1-3c2e-4acd-afcc-001b4dcb570a,55,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849220951,scissors,830,tie,0,45
476614b1-3c2e-4acd-afcc-001b4dcb570a,55,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849220951,scissors,1499,tie,0,33
476614b1-3c2e-4acd-afcc-001b4dcb570a,56,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849224119,rock,1456,loss,-1,45
476614b1-3c2e-4acd-afcc-001b4dcb570a,56,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849224119,paper,1453,win,3,33
476614b1-3c2e-4acd-afcc-001b4dcb570a,57,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849227447,scissors,215,tie,0,44
476614b1-3c2e-4acd-afcc-001b4dcb570a,57,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849227447,scissors,1594,tie,0,36
